material,core_size,hydro_size,surf_charge,surf_area,Hsf,Ec,Ev,MeO,assay,cell_line,cell_species,cell_origin,cell_type,time,dose,viability,toxicity
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.001,92.5258,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.01,96.134,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.1,93.5567,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,1,97.6804,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,5,94.8454,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,10,96.3918,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,20,92.268,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,50,92.268,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,100,82.732,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.001,95.6897,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.01,94.4828,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.1,96.8966,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,1,99.4828,nonToxic
Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,5,94.6552,nonToxic
