GSE	GSM	treatment	group	organism	biological_system	dose	dose_unit	time_point	time_point_unit	slide	array	dye	platform	filenames
GSE60798	GSM1488850	control	control_1d	Mus musculus	Lung	0	NA	1	d	251486838772_201307110843	1_1	Cy5	GPL7202	GSM1488850_251486838772_201307110843_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488851	nanoTiO2 (NRCWE-001)	NRCWE001_162ug_1d	Mus musculus	Lung	162	ug	1	d	251486838772_201307110843	1_2	Cy5	GPL7202	GSM1488851_251486838772_201307110843_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488852	nanoTiO2 (NRCWE-001)	NRCWE001_54ug_1d	Mus musculus	Lung	54	ug	1	d	251486838772_201307110843	1_3	Cy5	GPL7202	GSM1488852_251486838772_201307110843_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488853	nanoTiO2 (NRCWE-001)	NRCWE001_18ug_1d	Mus musculus	Lung	18	ug	1	d	251486838772_201307110843	1_4	Cy5	GPL7202	GSM1488853_251486838772_201307110843_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488854	nanoTiO2 (NRCWE-002)	NRCWE002_54ug_28d	Mus musculus	Lung	54	ug	28	d	251486838773_201307120759	1_1	Cy5	GPL7202	GSM1488854_251486838773_201307120759_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488855	control	control_28d	Mus musculus	Lung	0	NA	28	d	251486838773_201307120759	1_2	Cy5	GPL7202	GSM1488855_251486838773_201307120759_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488856	nanoTiO2 (NRCWE-002)	NRCWE002_162ug_28d	Mus musculus	Lung	162	ug	28	d	251486838773_201307120759	1_3	Cy5	GPL7202	GSM1488856_251486838773_201307120759_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488857	nanoTiO2 (NRCWE-002)	NRCWE002_18ug_28d	Mus musculus	Lung	18	ug	28	d	251486838773_201307120759	1_4	Cy5	GPL7202	GSM1488857_251486838773_201307120759_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488858	nanoTiO2 (NRCWE-001)	NRCWE001_18ug_1d	Mus musculus	Lung	18	ug	1	d	251486838774_201307170843	1_1	Cy5	GPL7202	GSM1488858_251486838774_201307170843_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488859	nanoTiO2 (NRCWE-001)	NRCWE001_54ug_1d	Mus musculus	Lung	54	ug	1	d	251486838774_201307170843	1_2	Cy5	GPL7202	GSM1488859_251486838774_201307170843_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488860	nanoTiO2 (NRCWE-001)	NRCWE001_162ug_1d	Mus musculus	Lung	162	ug	1	d	251486838774_201307170843	1_3	Cy5	GPL7202	GSM1488860_251486838774_201307170843_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488861	control	control_1d	Mus musculus	Lung	0	NA	1	d	251486838774_201307170843	1_4	Cy5	GPL7202	GSM1488861_251486838774_201307170843_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488862	nanoTiO2 (NRCWE-002)	NRCWE002_18ug_28d	Mus musculus	Lung	18	ug	28	d	251486838775_201307180844	1_1	Cy5	GPL7202	GSM1488862_251486838775_201307180844_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488863	nanoTiO2 (NRCWE-002)	NRCWE002_162ug_28d	Mus musculus	Lung	162	ug	28	d	251486838775_201307180844	1_2	Cy5	GPL7202	GSM1488863_251486838775_201307180844_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488864	nanoTiO2 (NRCWE-002)	NRCWE002_54ug_28d	Mus musculus	Lung	54	ug	28	d	251486838775_201307180844	1_3	Cy5	GPL7202	GSM1488864_251486838775_201307180844_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488865	nanoTiO2 (NRCWE-001)	NRCWE001_18ug_1d	Mus musculus	Lung	18	ug	1	d	251486838776_201307190849	1_1	Cy5	GPL7202	GSM1488865_251486838776_201307190849_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488866	control	control_1d	Mus musculus	Lung	0	NA	1	d	251486838776_201307190849	1_2	Cy5	GPL7202	GSM1488866_251486838776_201307190849_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488867	nanoTiO2 (NRCWE-001)	NRCWE001_162ug_1d	Mus musculus	Lung	162	ug	1	d	251486838776_201307190849	1_3	Cy5	GPL7202	GSM1488867_251486838776_201307190849_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488868	nanoTiO2 (NRCWE-001)	NRCWE001_54ug_1d	Mus musculus	Lung	54	ug	1	d	251486838776_201307190849	1_4	Cy5	GPL7202	GSM1488868_251486838776_201307190849_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488869	nanoTiO2 (NRCWE-001)	NRCWE001_54ug_28d	Mus musculus	Lung	54	ug	28	d	251486838708_201307240850	1_1	Cy5	GPL7202	GSM1488869_251486838708_201307240850_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488870	control	control_28d	Mus musculus	Lung	0	NA	28	d	251486838708_201307240850	1_2	Cy5	GPL7202	GSM1488870_251486838708_201307240850_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488871	nanoTiO2 (NRCWE-001)	NRCWE001_162ug_28d	Mus musculus	Lung	162	ug	28	d	251486838708_201307240850	1_3	Cy5	GPL7202	GSM1488871_251486838708_201307240850_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488872	nanoTiO2 (NRCWE-001)	NRCWE001_18ug_28d	Mus musculus	Lung	18	ug	28	d	251486838708_201307240850	1_4	Cy5	GPL7202	GSM1488872_251486838708_201307240850_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488873	nanoTiO2 (NRCWE-001)	NRCWE001_18ug_28d	Mus musculus	Lung	18	ug	28	d	251486838709_201307250904	1_1	Cy5	GPL7202	GSM1488873_251486838709_201307250904_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488874	nanoTiO2 (NRCWE-001)	NRCWE001_54ug_28d	Mus musculus	Lung	54	ug	28	d	251486838709_201307250904	1_2	Cy5	GPL7202	GSM1488874_251486838709_201307250904_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488875	control	control_28d	Mus musculus	Lung	0	NA	28	d	251486838709_201307250904	1_3	Cy5	GPL7202	GSM1488875_251486838709_201307250904_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488876	nanoTiO2 (NRCWE-002)	NRCWE002_162ug_1d	Mus musculus	Lung	162	ug	1	d	251486838710_201307250912	1_1	Cy5	GPL7202	GSM1488876_251486838710_201307250912_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488877	nanoTiO2 (NRCWE-002)	NRCWE002_54ug_1d	Mus musculus	Lung	54	ug	1	d	251486838710_201307250912	1_2	Cy5	GPL7202	GSM1488877_251486838710_201307250912_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488878	nanoTiO2 (NRCWE-002)	NRCWE002_18ug_1d	Mus musculus	Lung	18	ug	1	d	251486838710_201307250912	1_3	Cy5	GPL7202	GSM1488878_251486838710_201307250912_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488879	control	control_1d	Mus musculus	Lung	0	NA	1	d	251486838710_201307250912	1_4	Cy5	GPL7202	GSM1488879_251486838710_201307250912_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488880	nanoTiO2 (NRCWE-002)	NRCWE002_162ug_28d	Mus musculus	Lung	162	ug	28	d	251486838711_201307260851	1_1	Cy5	GPL7202	GSM1488880_251486838711_201307260851_S01_GE2_1100_Jul11_1_1.txt
GSE60798	GSM1488881	nanoTiO2 (NRCWE-002)	NRCWE002_54ug_28d	Mus musculus	Lung	54	ug	28	d	251486838711_201307260851	1_2	Cy5	GPL7202	GSM1488881_251486838711_201307260851_S01_GE2_1100_Jul11_1_2.txt
GSE60798	GSM1488882	nanoTiO2 (NRCWE-002)	NRCWE002_18ug_28d	Mus musculus	Lung	18	ug	28	d	251486838711_201307260851	1_3	Cy5	GPL7202	GSM1488882_251486838711_201307260851_S01_GE2_1100_Jul11_1_3.txt
GSE60798	GSM1488883	control	control_28d	Mus musculus	Lung	0	NA	28	d	251486838711_201307260851	1_4	Cy5	GPL7202	GSM1488883_251486838711_201307260851_S01_GE2_1100_Jul11_1_4.txt
GSE60798	GSM1488884	nanoTiO2 (NRCWE-001)	NRCWE001_18ug_1d	Mus musculus	Lung	18	ug	1	d	251486838712_201307260859	1_1	Cy5	GPL7202	GSM1488884_251486838712_201307260859_S01_GE2_1100_Jul11_1_1.txt
