GSE	GSM	treatment	group	organism	biological_system	dose	dose_unit	time_point	time_point_unit	slide	array	dye	platform	filenames
GSE63552	GSM1552057	crocidolite	crocidolite_0.25ugcm2_1h	Homo sapiens	BEAS-2B	0.25	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552057_A05_PN04.CEL
GSE63552	GSM1552058	crocidolite	crocidolite_0.25ugcm2_1h	Homo sapiens	BEAS-2B	0.25	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552058_B05_PN_64.CEL
GSE63552	GSM1552059	crocidolite	crocidolite_0.25ugcm2_1h	Homo sapiens	BEAS-2B	0.25	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552059_G09_PN_124.CEL
GSE63552	GSM1552060	crocidolite	crocidolite_2ugcm2_1h	Homo sapiens	BEAS-2B	2	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552060_B05_5.CEL
GSE63552	GSM1552061	crocidolite	crocidolite_2ugcm2_1h	Homo sapiens	BEAS-2B	2	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552061_B07_PN_65.CEL
GSE63552	GSM1552062	crocidolite	crocidolite_2ugcm2_1h	Homo sapiens	BEAS-2B	2	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552062_H05_PN_125.CEL
GSE63552	GSM1552063	control	control_1h	Homo sapiens	BEAS-2B	0	NA	1	h	NA	NA	NA	GPL15798	GSM1552063_C05_10.CEL
GSE63552	GSM1552064	control	control_1h	Homo sapiens	BEAS-2B	0	NA	1	h	NA	NA	NA	GPL15798	GSM1552064_C07_PN_70.CEL
GSE63552	GSM1552065	control	control_1h	Homo sapiens	BEAS-2B	0	NA	1	h	NA	NA	NA	GPL15798	GSM1552065_H09_PN_130.CEL
GSE63552	GSM1552066	glass wool	glasswool_0.25ugcm2_1h	Homo sapiens	BEAS-2B	0.25	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552066_B07_7.CEL
GSE63552	GSM1552067	glass wool	glasswool_0.25ugcm2_1h	Homo sapiens	BEAS-2B	0.25	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552067_B09_PN_67.CEL
GSE63552	GSM1552068	glass wool	glasswool_0.25ugcm2_1h	Homo sapiens	BEAS-2B	0.25	ug/cm2	1	h	NA	NA	NA	GPL15798	GSM1552068_H07_PN_127.CEL
