GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE81565,GSM2157297,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486839956_201411261123,1_1,Cy5,GPL7202,GSM2157297_251486839956_201411261123_S01_GE2_1100_Jul11_1_1.txt
GSE81565,GSM2157298,control,control_1d,Mus musculus,Lung,0,NA,1,d,251486839956_201411261123,1_3,Cy5,GPL7202,GSM2157298_251486839956_201411261123_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157299,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_1d,Mus musculus,Lung,162,ug,1,d,251486839956_201411261123,1_4,Cy5,GPL7202,GSM2157299_251486839956_201411261123_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157300,control,control_28d,Mus musculus,Lung,0,NA,28,d,251486839443_201411261131,1_1,Cy5,GPL7202,GSM2157300_251486839443_201411261131_S01_GE2_1100_Jul11_1_1.txt
GSE81565,GSM2157301,nanoTiO2 (rutile hydrophilic),nanoTiO2_162ug_28d,Mus musculus,Lung,162,ug,28,d,251486839443_201411261131,1_2,Cy5,GPL7202,GSM2157301_251486839443_201411261131_S01_GE2_1100_Jul11_1_2.txt
GSE81565,GSM2157302,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_28d,Mus musculus,Lung,54,ug,28,d,251486839443_201411261131,1_3,Cy5,GPL7202,GSM2157302_251486839443_201411261131_S01_GE2_1100_Jul11_1_3.txt
GSE81565,GSM2157303,nanoTiO2 (rutile hydrophilic),nanoTiO2_486ug_28d,Mus musculus,Lung,486,ug,28,d,251486839443_201411261131,1_4,Cy5,GPL7202,GSM2157303_251486839443_201411261131_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157304,nanoTiO2 (rutile hydrophilic),nanoTiO2_54ug_1d,Mus musculus,Lung,54,ug,1,d,251486839445_201411251040,1_2,Cy5,GPL7202,GSM2157304_251486839445_201411251040_S01_GE2_1100_Jul11_1_2.txt
GSE81565,GSM2157305,nanoTiO2 (rutile hydrophilic),nanoTiO2_486ug_1d,Mus musculus,Lung,486,ug,1,d,251486839445_201411251040,1_4,Cy5,GPL7202,GSM2157305_251486839445_201411251040_S01_GE2_1100_Jul11_1_4.txt
GSE81565,GSM2157306,control,control_28d,Mus musculus,Lung,0,NA,28,d,251486839444_201411251048,1_1,Cy5,GPL7202,GSM2157306_251486839444_201411251048_S01_GE2_1100_Jul11_1_1.txt
