GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE117056,GSM3267892,control,control,Homo sapiens,HepG2,0,ug/ml,3,d,6142077017,A,biotin,GPL10558,GSM3267892_6142077017_A_Grn.idat
GSE117056,GSM3267893,CeO2_Nano_Amor,CeO2_Nano_Amor_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077017,B,biotin,GPL10558,GSM3267893_6142077017_B_Grn.idat
GSE117056,GSM3267894,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077017,C,biotin,GPL10558,GSM3267894_6142077017_C_Grn.idat
GSE117056,GSM3267895,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077017,D,biotin,GPL10558,GSM3267895_6142077017_D_Grn.idat
GSE117056,GSM3267896,CeO2_Nano_Amor,CeO2_Nano_Amor_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077017,E,biotin,GPL10558,GSM3267896_6142077017_E_Grn.idat
GSE117056,GSM3267897,TiO2_Degussa,TiO2_Degussa_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077017,F,biotin,GPL10558,GSM3267897_6142077017_F_Grn.idat
GSE117056,GSM3267898,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077017,G,biotin,GPL10558,GSM3267898_6142077017_G_Grn.idat
GSE117056,GSM3267899,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077017,H,biotin,GPL10558,GSM3267899_6142077017_H_Grn.idat
GSE117056,GSM3267900,TiO2_Degussa,TiO2_Degussa_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077017,I,biotin,GPL10558,GSM3267900_6142077017_I_Grn.idat
GSE117056,GSM3267901,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077017,J,biotin,GPL10558,GSM3267901_6142077017_J_Grn.idat
GSE117056,GSM3267902,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077017,K,biotin,GPL10558,GSM3267902_6142077017_K_Grn.idat
GSE117056,GSM3267903,TiO2_Acros,TiO2_Acros_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077017,L,biotin,GPL10558,GSM3267903_6142077017_L_Grn.idat
GSE117056,GSM3267904,control,control,Homo sapiens,HepG2,0,ug/ml,3,d,6142077021,A,biotin,GPL10558,GSM3267904_6142077021_A_Grn.idat
GSE117056,GSM3267905,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077021,B,biotin,GPL10558,GSM3267905_6142077021_B_Grn.idat
GSE117056,GSM3267906,CeO2_Nano_Amor,CeO2_Nano_Amor_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077021,C,biotin,GPL10558,GSM3267906_6142077021_C_Grn.idat
GSE117056,GSM3267907,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077021,D,biotin,GPL10558,GSM3267907_6142077021_D_Grn.idat
GSE117056,GSM3267908,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077021,E,biotin,GPL10558,GSM3267908_6142077021_E_Grn.idat
GSE117056,GSM3267909,TiO2_Degussa,TiO2_Degussa_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077021,F,biotin,GPL10558,GSM3267909_6142077021_F_Grn.idat
GSE117056,GSM3267910,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077021,G,biotin,GPL10558,GSM3267910_6142077021_G_Grn.idat
GSE117056,GSM3267911,TiO2_Mknano,TiO2_Mknano_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077021,H,biotin,GPL10558,GSM3267911_6142077021_H_Grn.idat
GSE117056,GSM3267912,CeO2_Nano_Amor,CeO2_Nano_Amor_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077021,I,biotin,GPL10558,GSM3267912_6142077021_I_Grn.idat
GSE117056,GSM3267913,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077021,J,biotin,GPL10558,GSM3267913_6142077021_J_Grn.idat
GSE117056,GSM3267914,CeO2_Nano_Amor,CeO2_Nano_Amor_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077021,K,biotin,GPL10558,GSM3267914_6142077021_K_Grn.idat
GSE117056,GSM3267915,control,control,Homo sapiens,HepG2,0,ug/ml,3,d,6142077021,L,biotin,GPL10558,GSM3267915_6142077021_L_Grn.idat
GSE117056,GSM3267916,TiO2_Acros,TiO2_Acros_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077041,A,biotin,GPL10558,GSM3267916_6142077041_A_Grn.idat
GSE117056,GSM3267917,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077041,B,biotin,GPL10558,GSM3267917_6142077041_B_Grn.idat
GSE117056,GSM3267918,TiO2_Degussa,TiO2_Degussa_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077041,C,biotin,GPL10558,GSM3267918_6142077041_C_Grn.idat
GSE117056,GSM3267919,TiO2_Mknano,TiO2_Mknano_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077041,D,biotin,GPL10558,GSM3267919_6142077041_D_Grn.idat
GSE117056,GSM3267920,TiO2_Acros,TiO2_Acros_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077041,E,biotin,GPL10558,GSM3267920_6142077041_E_Grn.idat
GSE117056,GSM3267921,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077041,F,biotin,GPL10558,GSM3267921_6142077041_F_Grn.idat
GSE117056,GSM3267922,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077041,G,biotin,GPL10558,GSM3267922_6142077041_G_Grn.idat
GSE117056,GSM3267923,control,control,Homo sapiens,HepG2,0,ug/ml,3,d,6142077041,H,biotin,GPL10558,GSM3267923_6142077041_H_Grn.idat
GSE117056,GSM3267924,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077041,J,biotin,GPL10558,GSM3267924_6142077041_J_Grn.idat
GSE117056,GSM3267925,TiO2_Acros,TiO2_Acros_high,Homo sapiens,HepG2,30,ug/ml,3,d,6142077041,K,biotin,GPL10558,GSM3267925_6142077041_K_Grn.idat
GSE117056,GSM3267926,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077041,L,biotin,GPL10558,GSM3267926_6142077041_L_Grn.idat
GSE117056,GSM3267927,CeO2_Alfa_Aesar,CeO2_Alfa_Aesar_mid,Homo sapiens,HepG2,3,ug/ml,3,d,6142077044,A,biotin,GPL10558,GSM3267927_6142077044_A_Grn.idat
GSE117056,GSM3267928,TiO2_Degussa,TiO2_Degussa_low,Homo sapiens,HepG2,0.3,ug/ml,3,d,6142077044,B,biotin,GPL10558,GSM3267928_6142077044_B_Grn.idat
