GSE	GSM	treatment	group	organism	biological_system	dose	dose_unit	time_point	time_point_unit	slide	array	dye	platform	filenames
GSE16727	GSM419105	control	control_3h	Homo sapiens	HaCaT	0	NA	3	hours	US22502595_251485020839	1_1	Cy3	GPL4133	GSM419105_US22502595_251485020839_S01_GE2-v5_95_Feb07_1_1.txt
GSE16727	GSM419106	control	control_3h	Homo sapiens	HaCaT	0	NA	3	hours	US22502595_251485020840	1_1	Cy3	GPL4133	GSM419106_US22502595_251485020840_S01_GE2-v5_95_Feb07_1_1.txt
GSE16727	GSM419107	control	control_3h	Homo sapiens	HaCaT	0	NA	3	hours	US22502595_251485020841	1_1	Cy3	GPL4133	GSM419107_US22502595_251485020841_S01_GE2-v5_95_Feb07_1_1.txt
GSE16727	GSM419108	control	control_3h	Homo sapiens	HaCaT	0	NA	3	hours	US22502595_251485020842	1_1	Cy3	GPL4133	GSM419108_US22502595_251485020842_S01_GE2-v5_95_Feb07_1_1.txt
GSE16727	GSM419109	control	control_3h	Homo sapiens	HaCaT	0	NA	3	hours	US22502595_251485020839	1_4	Cy3	GPL4133	GSM419109_US22502595_251485020839_S01_GE2-v5_95_Feb07_1_4.txt
GSE16727	GSM419110	WC	WC_3h	Homo sapiens	HaCaT	30	ug/ml	3	hours	US22502595_251485020839	1_2	Cy3	GPL4133	GSM419110_US22502595_251485020839_S01_GE2-v5_95_Feb07_1_2.txt
GSE16727	GSM419111	WC	WC_3h	Homo sapiens	HaCaT	30	ug/ml	3	hours	US22502595_251485020840	1_2	Cy3	GPL4133	GSM419111_US22502595_251485020840_S01_GE2-v5_95_Feb07_1_2.txt
GSE16727	GSM419112	WC	WC_3h	Homo sapiens	HaCaT	30	ug/ml	3	hours	US22502595_251485020841	1_2	Cy3	GPL4133	GSM419112_US22502595_251485020841_S01_GE2-v5_95_Feb07_1_2.txt
GSE16727	GSM419113	WC	WC_3h	Homo sapiens	HaCaT	30	ug/ml	3	hours	US22502595_251485020842	1_2	Cy3	GPL4133	GSM419113_US22502595_251485020842_S01_GE2-v5_95_Feb07_1_2.txt
GSE16727	GSM419114	WC	WC_3h	Homo sapiens	HaCaT	30	ug/ml	3	hours	US22502595_251485020840	1_4	Cy3	GPL4133	GSM419114_US22502595_251485020840_S01_GE2-v5_95_Feb07_1_4.txt
GSE16727	GSM419115	WC_Co	WC_Co_3h	Homo sapiens	HaCaT	33	ug/ml	3	hours	US22502595_251485020839	1_3	Cy3	GPL4133	GSM419115_US22502595_251485020839_S01_GE2-v5_95_Feb07_1_3.txt
GSE16727	GSM419116	WC_Co	WC_Co_3h	Homo sapiens	HaCaT	33	ug/ml	3	hours	US22502595_251485020840	1_3	Cy3	GPL4133	GSM419116_US22502595_251485020840_S01_GE2-v5_95_Feb07_1_3.txt
GSE16727	GSM419117	WC_Co	WC_Co_3h	Homo sapiens	HaCaT	33	ug/ml	3	hours	US22502595_251485020841	1_3	Cy3	GPL4133	GSM419117_US22502595_251485020841_S01_GE2-v5_95_Feb07_1_3.txt
GSE16727	GSM419118	WC_Co	WC_Co_3h	Homo sapiens	HaCaT	33	ug/ml	3	hours	US22502595_251485020842	1_3	Cy3	GPL4133	GSM419118_US22502595_251485020842_S01_GE2-v5_95_Feb07_1_3.txt
GSE16727	GSM419119	WC_Co	WC_Co_3h	Homo sapiens	HaCaT	33	ug/ml	3	hours	US22502595_251485020841	1_4	Cy3	GPL4133	GSM419119_US22502595_251485020841_S01_GE2-v5_95_Feb07_1_4.txt
GSE16727	GSM419120	CoCl2	CoCl2_3h	Homo sapiens	HaCaT	51	uM	3	hours	US45102998_251485024787	1_4	Cy3	GPL4133	GSM419120_US45102998_251485024787_S01_GE2-v5_95_Feb07_1_4.txt
