GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE39330,GSM961297,diethylene_glycol_ZnO,ZnO5_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961297_142_10ug_ml_1_UC_ZnO_80_v2_24h_D04.CEL.gz
GSE39330,GSM961299,diethylene_glycol_ZnO,ZnO5_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961299_142_10ug_ml_2_UC_ZnO_80_v2_24h_D05.CEL.gz
GSE39330,GSM961301,diethylene_glycol_ZnO,ZnO5_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961301_142_10ug_ml_3_UC_ZnO_80_v2_24h_D06.CEL.gz
GSE39330,GSM961304,mercaptopropyl_trimethoxysilane_ZnO,ZnO3_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961304_145_10ug_ml_1_UC_SiO_ZnO_24h_D07.CEL.gz
GSE39330,GSM961306,mercaptopropyl_trimethoxysilane_ZnO,ZnO3_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961306_145_10ug_ml_2_UC_SiO_ZnO_24h_D08.CEL.gz
GSE39330,GSM961308,mercaptopropyl_trimethoxysilane_ZnO,ZnO3_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961308_145_10ug_ml_3_UC_SiO_ZnO_24h_D09.CEL.gz
GSE39330,GSM961310,folic_acid_ZnO,ZnO9_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961310_147_10ug_ml_1_UC_FA_nanorod_ZnO_24h_D10.CEL.gz
GSE39330,GSM961313,folic_acid_ZnO,ZnO9_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961313_147_10ug_ml_2_UC_FA_nanorod_ZnO_24h_D11.CEL.gz
GSE39330,GSM961315,folic_acid_ZnO,ZnO9_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961315_147_10ug_ml_3_UC_FA_nanorod_ZnO_24h_D12.CEL.gz
GSE39330,GSM961317,mandelic_acid_ZnO,ZnO2_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961317_149_10ug_ml_1_UC_ZnO_10_2_24h_E01.CEL.gz
GSE39330,GSM961320,mandelic_acid_ZnO,ZnO2_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961320_149_10ug_ml_2_UC_ZnO_10_2_24h_E02.CEL.gz
GSE39330,GSM961322,mandelic_acid_ZnO,ZnO2_10_24h,Homo sapiens,Jurkat,10,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961322_149_10ug_ml_3_UC_ZnO_10_2_24h_E03.CEL.gz
GSE39330,GSM961324,methoxyl_ZnO,ZnO4_100_24h,Homo sapiens,Jurkat,100,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961324_121_100ug_ml_1_UC_ZnO_15_1_24h_D01.CEL.gz
GSE39330,GSM961326,methoxyl_ZnO,ZnO4_100_24h,Homo sapiens,Jurkat,100,ug/ml,24,h,NA,NA,NA,GPL15803,GSM961326_121_100ug_ml_2_UC_ZnO_15_1_24h_D02.CEL.gz
