GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE43515,GSM1064718,control_IL13,control_IL13_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064718__19_con_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064719,control,control_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064719__20_con_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064720,Carbon black_IL13,carbon_black_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064720__21_CB_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064721,Carbon black,carbon_black_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064721__22_CB_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064722,MWCNT_IL13,MWCNT_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064722__23_MW_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064723,MWCNT,MWCNT_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064723__24_MW_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064724,control_IL13,control_IL13_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064724__25_con_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064725,control,control_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064725__26_con_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064726,Carbon black_IL13,carbon_black_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064726__27_CB_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064727,Carbon black,carbon_black_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064727__28_CB_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064728,MWCNT_IL13,MWCNT_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064728__29_MW_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064729,MWCNT,MWCNT_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064729__30_MW_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064730,control_IL13,control_IL13_48h,Homo sapiens,16lu,0,NA,48,h,NA,NA,NA,GPL571,GSM1064730__31_Con_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064731,control,control_48h,Homo sapiens,16lu,0,NA,48,h,NA,NA,NA,GPL571,GSM1064731__32_Con_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064732,Carbon black_IL13,carbon_black_IL13_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064732__33_CB_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064733,Carbon black,carbon_black_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064733__34_CB_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064734,MWCNT_IL13,MWCNT_IL13_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064734__35_MW_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064735,MWCNT,MWCNT_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064735__36_MW_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064736,control_IL13,control_IL13_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064736__37_con_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064737,control,control_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064737__38_con_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064738,Carbon black_IL13,carbon_black_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064738__39_CB_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064739,Carbon black,carbon_black_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064739__40_CB_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064740,MWCNT_IL13,MWCNT_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064740__41_MW_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064741,MWCNT,MWCNT_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064741__42_MW_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064742,control_IL13,control_IL13_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064742__43_con_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064743,control,control_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064743__44_con_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064744,Carbon black_IL13,carbon_black_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064744__45_CB_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064745,Carbon black,carbon_black_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064745__46_CB_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064746,MWCNT_IL13,MWCNT_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064746__47_MW_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064747,MWCNT,MWCNT_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064747__48_MW_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064748,control_IL13,control_IL13_48h,Homo sapiens,16lu,0,NA,48,h,NA,NA,NA,GPL571,GSM1064748__49_con_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064749,control,control_48h,Homo sapiens,16lu,0,NA,48,h,NA,NA,NA,GPL571,GSM1064749__50_con_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064750,Carbon black_IL13,carbon_black_IL13_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064750__51_CB_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064751,Carbon black,carbon_black_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064751__52_CB_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064752,MWCNT_IL13,MWCNT_IL13_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064752__53_MW_48_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064753,MWCNT,MWCNT_48h,Homo sapiens,16lu,10,ug/cm2,48,h,NA,NA,NA,GPL571,GSM1064753__54_MW_48_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064754,control_IL13,control_IL13_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064754__55_con_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064755,control,control_4h,Homo sapiens,16lu,0,NA,4,h,NA,NA,NA,GPL571,GSM1064755__56r_con_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064756,Carbon black_IL13,carbon_black_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064756__57_CB_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064757,Carbon black,carbon_black_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064757__58_CB_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064758,MWCNT_IL13,MWCNT_IL13_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064758__59_MW_4_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064759,MWCNT,MWCNT_4h,Homo sapiens,16lu,10,ug/cm2,4,h,NA,NA,NA,GPL571,GSM1064759__60_MW_4_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064760,control_IL13,control_IL13_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064760__61_con_24_h___HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064761,control,control_24h,Homo sapiens,16lu,0,NA,24,h,NA,NA,NA,GPL571,GSM1064761__62_con_24_h_w_HG_U133A_2_JCBLRI000.CEL
GSE43515,GSM1064762,Carbon black_IL13,carbon_black_IL13_24h,Homo sapiens,16lu,10,ug/cm2,24,h,NA,NA,NA,GPL571,GSM1064762__63_CB_24_h___HG_U133A_2_JCBLRI000.CEL
