GSE	GSM	treatment	group	organism	biological_system	dose	dose_unit	time_point	time_point_unit	slide	array	dye	platform	filenames
GSE84982	MCF7_Ag_ctrl_6h_rep1	control	control_0_6	Homo sapiens	MCF-7	0	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag_ctrl_6h_rep2	control	control_0_6	Homo sapiens	MCF-7	0	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag_ctrl_6h_rep3	control	control_0_6	Homo sapiens	MCF-7	0	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_6h_rep1	AgNO3	AgNO3_1.5_6	Homo sapiens	MCF-7	1.5	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_6h_rep2	AgNO3	AgNO3_1.5_6	Homo sapiens	MCF-7	1.5	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_6h_rep3	AgNO3	AgNO3_1.5_6	Homo sapiens	MCF-7	1.5	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_6h_rep4	AgNO3	AgNO3_1.5_6	Homo sapiens	MCF-7	1.5	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag20_6h_rep1	20nm_AgNPs	AgNP20_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag20_6h_rep2	20nm_AgNPs	AgNP20_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag20_6h_rep3	20nm_AgNPs	AgNP20_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag30_6h_rep1	30nm_AgNPs	AgNP30_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag30_6h_rep2	30nm_AgNPs	AgNP30_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag30_6h_rep3	30nm_AgNPs	AgNP30_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag60_6h_rep1	60nm_AgNPs	AgNP60_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag60_6h_rep2	60nm_AgNPs	AgNP60_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag60_6h_rep3	60nm_AgNPs	AgNP60_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag110_6h_rep1	110nm_AgNPs	AgNP110_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag110_6h_rep2	110nm_AgNPs	AgNP110_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag110_6h_rep3	110nm_AgNPs	AgNP110_25_6	Homo sapiens	MCF-7	25	ug/ml	6	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag_ctrl_24h_rep1	control	control_0_24	Homo sapiens	MCF-7	0	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag_ctrl_24h_rep2	control	control_0_24	Homo sapiens	MCF-7	0	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag_ctrl_24h_rep3	control	control_0_24	Homo sapiens	MCF-7	0	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_24h_rep1	AgNO3	AgNO3_1.5_24	Homo sapiens	MCF-7	1.5	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_24h_rep2	AgNO3	AgNO3_1.5_24	Homo sapiens	MCF-7	1.5	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_AgNO3_24h_rep3	AgNO3	AgNO3_1.5_24	Homo sapiens	MCF-7	1.5	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag20_24h_rep1	20nm_AgNPs	AgNP20_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag20_24h_rep2	20nm_AgNPs	AgNP20_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag20_24h_rep3	20nm_AgNPs	AgNP20_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag30_24h_rep1	30nm_AgNPs	AgNP30_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag30_24h_rep2	30nm_AgNPs	AgNP30_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag30_24h_rep3	30nm_AgNPs	AgNP30_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag60_24h_rep1	60nm_AgNPs	AgNP60_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag60_24h_rep2	60nm_AgNPs	AgNP60_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
GSE84982	MCF7_Ag60_24h_rep3	60nm_AgNPs	AgNP60_25_24	Homo sapiens	MCF-7	25	ug/ml	24	h	NA	NA	biotin	GPL10558	NA
