GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
E-MTAB-6396,MRC9_BAY1,MWCNT (Bayer),BAY_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,1,1_4,Cy5,Agilent_028004,US11263921_257236311282_S01_GE2_1200_Jun14_1_4.txt
E-MTAB-6396,MRC9_BAY2,MWCNT (Bayer),BAY_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,2,2_1,Cy3,Agilent_028004,US11263921_257236310655_S01_GE2_1200_Jun14_2_1.txt
E-MTAB-6396,MRC9_BAY3,MWCNT (Bayer),BAY_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,3,2_4,Cy5,Agilent_028004,US11263921_257236311283_S01_GE2_1200_Jun14_2_4.txt
E-MTAB-6396,MRC9_C1,control,control_MRC9,Homo sapiens,MRC9,0,ug/ml,48,h,4,1_3,Cy3,Agilent_028004,US11263921_257236310657_S01_GE2_1200_Jun14_1_3.txt
E-MTAB-6396,MRC9_C2,control,control_MRC9,Homo sapiens,MRC9,0,ug/ml,48,h,5,2_4,Cy5,Agilent_028004,US11263921_257236310656_S01_GE2_1200_Jun14_2_4.txt
E-MTAB-6396,MRC9_CB1,Carbon black,CB_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,6,2_2,Cy3,Agilent_028004,US11263921_257236311290_S01_GE2_1200_Jun14_2_2.txt
E-MTAB-6396,MRC9_CB2,Carbon black,CB_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,7,1_1,Cy5,Agilent_028004,US11263921_257236311289_S01_GE2_1200_Jun14_1_1.txt
E-MTAB-6396,MRC9_CB3,Carbon black,CB_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,8,1_2,Cy3,Agilent_028004,US11263921_257236311284_S01_GE2_1200_Jun14_1_2.txt
E-MTAB-6396,MRC9_CH1,MWCNT (Cheaptubes),CH_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,1,2_2,Cy5,Agilent_028004,US11263921_257236311282_S01_GE2_1200_Jun14_2_2.txt
E-MTAB-6396,MRC9_CH2,MWCNT (Cheaptubes),CH_MRC9,Homo sapiens,MRC9,10,ug/ml,48,h,2,1_3,Cy3,Agilent_028004,US11263921_257236310655_S01_GE2_1200_Jun14_1_3.txt
