GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE19487,GSM485740,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818824,1_1,Cy5,GPL4134,GSM485740_US22502706_251486818824_S01_GE2_v5_95_Feb07_1_1.txt
GSE19487,GSM485741,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818824,1_2,Cy5,GPL4134,GSM485741_US22502706_251486818824_S01_GE2_v5_95_Feb07_1_2.txt
GSE19487,GSM485742,control,control,Mus musculus,Lung,0,NA,5,d,US22502706_251486818824,1_3,Cy5,GPL4134,GSM485742_US22502706_251486818824_S01_GE2_v5_95_Feb07_1_3.txt
GSE19487,GSM485743,control,control,Mus musculus,Lung,0,NA,5,d,US22502706_251486818824,1_4,Cy5,GPL4134,GSM485743_US22502706_251486818824_S01_GE2_v5_95_Feb07_1_4.txt
GSE19487,GSM485744,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818825,1_2,Cy5,GPL4134,GSM485744_US22502706_251486818825_S01_GE2_v5_95_Feb07_1_2.txt
GSE19487,GSM485745,control,control,Mus musculus,Lung,0,NA,5,d,US22502706_251486818825,1_3,Cy5,GPL4134,GSM485745_US22502706_251486818825_S01_GE2_v5_95_Feb07_1_3.txt
GSE19487,GSM485746,control,control,Mus musculus,Lung,0,NA,5,d,US22502706_251486818825,1_4,Cy5,GPL4134,GSM485746_US22502706_251486818825_S01_GE2_v5_95_Feb07_1_4.txt
GSE19487,GSM485747,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818827,1_1,Cy5,GPL4134,GSM485747_US22502706_251486818827_S01_GE2_v5_95_Feb07_1_1.txt
GSE19487,GSM485748,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818827,1_2,Cy5,GPL4134,GSM485748_US22502706_251486818827_S01_GE2_v5_95_Feb07_1_2.txt
GSE19487,GSM485749,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818826,1_1,Cy5,GPL4134,GSM485749_US22502706_251486818826_S01_GE2_v5_95_Feb07_1_1.txt
GSE19487,GSM485750,nanoTiO2,nanoTiO2,Mus musculus,Lung,40,mg/m3,5,d,US22502706_251486818826,1_2,Cy5,GPL4134,GSM485750_US22502706_251486818826_S01_GE2_v5_95_Feb07_1_2.txt
GSE19487,GSM485751,control,control,Mus musculus,Lung,0,NA,5,d,US22502706_251486818826,1_3,Cy5,GPL4134,GSM485751_US22502706_251486818826_S01_GE2_v5_95_Feb07_1_3.txt
GSE19487,GSM485752,control,control,Mus musculus,Lung,0,NA,5,d,US22502706_251486818826,1_4,Cy5,GPL4134,GSM485752_US22502706_251486818826_S01_GE2_v5_95_Feb07_1_4.txt
