logFC,AveExpr,t-statistic,P.Value,adj.P.Val,B-statistic,score,ID
"-2,74252435102519","11,2272860238526","-10,1950027258911","2,20972146185423E-07","5,47371391922379E-06","7,45149883221298","-18,253316385829",ENSG00000165006
"-2,5671948604331","11,2049596952744","-14,035952677627","5,67654222542073E-09","6,73666597237832E-07","11,1645813023934","-21,168873501472",ENSG00000074219
"-2,36454236206339","11,1274705595857","-12,3592967748511","2,48712745587896E-08","1,54188458332302E-06","9,67971204819334","-17,980694114108",ENSG00000157593
"-2,31855267726044","10,941003448361","-13,1563945484224","1,20708625949115E-08","1,01005701259651E-06","10,4089475165395","-18,3589068492041",ENSG00000131778
"-2,29427132157704","12,5671226318459","-8,77872611750518","1,1412948929842E-06","1,70410628141892E-05","5,75877826150944","-13,633941633434",ENSG00000164808
"-2,22447857338839","10,3779870496797","-9,42349684233532","5,27831447156049E-07","1,00393016043661E-05","6,55525346036185","-13,9641747861093",ENSG00000275691
"-2,15952639049063","12,3089856807224","-8,74851051664622","1,18451735268383E-06","1,75293284102333E-05","5,72033063031982","-12,7983436898132",ENSG00000169299
"-2,15149016671696","9,55650702310985","-14,0221330685269","5,74234896977083E-09","6,73666597237832E-07","11,1530822554719","-17,7302377300163",ENSG00000102287
"-2,12791443786022","12,5653407628837","-8,17832155921914","2,43301234282338E-06","3,00368337565569E-05","4,97501586206092","-11,9458045702623",ENSG00000265808
"-2,12202013697502","12,5332311244161","-8,97165452249024","9,02168010082373E-07","1,46765459682762E-05","6,00185630719153","-12,8270018097405",ENSG00000119414
"-2,09603396474373","9,73495975054794","-11,4049499812363","6,24236873043778E-08","2,53878464430464E-06","8,74506325724929","-15,101192323092",ENSG00000178096
"-2,09373857976549","9,59683945779717","-19,9544936873007","8,6672337409618E-11","1,4939283925845E-07","15,2169728018444","-21,0674477726724",ENSG00000124256
"-2,08882605881118","13,7884205014556","-7,47385716790142","6,22946798843385E-06","6,15911796201274E-05","3,99973001725941","-10,8734864884126",ENSG00000227372
"-2,06764264105064","9,41570544028913","-12,4465638138834","2,29342002346944E-08","1,45321736183265E-06","9,76173767715381","-15,7957898657667",ENSG00000180104
"-2,03448731591338","12,9804099672441","-6,55539674896157","2,32696624962216E-05","0,000173411149557612","2,6310904786623","-9,42620680542692",ENSG00000197429
"-2,03055489891779","11,2694098413284","-10,5487306885851","1,50851697707675E-07","4,20953314114192E-06","7,8431755120827","-13,8513283047382",ENSG00000120688
"-2,01971702172919","11,1790625125552","-10,990288047648","9,50264249467121E-08","3,26304810692767E-06","8,31618491576014","-14,1827672133623",ENSG00000101189
"-2,0043569731591","9,41016143528709","-16,6822107172677","7,39298875181459E-10","2,68228820204979E-07","13,1726741827951","-18,302144215106",ENSG00000125740
"-1,99814786910665","11,518087851544","-14,8054420327328","3,03446702378825E-09","5,19437347698917E-07","11,7871550253798","-17,0200588571479",ENSG00000176715
"-1,98301264809169","11,9369584170958","-9,69868305004518","3,84507608598996E-07","8,05461206343506E-06","6,88176782118841","-12,721214646658",ENSG00000196565
"-1,96456050662161","9,02081564989385","-15,7941737102589","1,41483288382213E-09","3,80719813452491E-07","12,5391669344012","-17,3849751831562",ENSG00000175643
"-1,95217709128341","10,0236425560652","-11,3669989480773","6,48364762825503E-08","2,60003337931667E-06","8,70640771738949","-14,0326014877451",ENSG00000071909
"-1,94954497989373","11,9058852495271","-13,5068855995455","8,89037377117513E-09","8,13851055898319E-07","10,7159569554508","-15,6959425576065",ENSG00000163568
"-1,94739140081699","9,79086984129379","-13,5106995983434","8,86117824716006E-09","8,13851055898319E-07","10,7192539453797","-15,6813858610661",ENSG00000223802
"-1,946521733635","11,8770877431055","-11,0646541188888","8,80437425977279E-08","3,09909280418899E-06","8,39416967635762","-13,7332977159878",ENSG00000174428
"-1,94230142173357","12,5382059264498","-7,51731735897523","5,86838100490232E-06","5,91947772605318E-05","4,06171589797967","-10,1611143384865",ENSG00000119041
"-1,88103742726732","12,321832420363","-8,94126138639629","9,3597327167905E-07","1,51192640181507E-05","5,96383753015621","-11,3402790955309",ENSG00000141429
"-1,87399219001945","8,93967051758152","-13,5234032025007","8,76467577978312E-09","8,13851055898319E-07","10,7302287902063","-15,0992500798334",ENSG00000270765
"-1,85742547642393","8,87651999972727","-14,1290976565512","5,25362595884132E-09","6,73666597237832E-07","11,2417856553756","-15,3786301093877",ENSG00000050030
