sample,reference,np_source,np_type,np_core,diameter_mean,diameter_max,diameter_min,length_mean,length_max,length_min,molecular_weight,density,dispersity_original,hydrodynamic_size,dispersity_water,surface_area,aggregate_size_mean,aggregate_size_max,aggregate_size_min,zeta_potential,image,shape,purity,coating,coating_material,crystalline,centrifuge,stir,stirring,stirring_rate,sonication,sonication2,sonication_freq.,filter,solubilization_media,maximal_dose,minimal_dose,dissolved_cation,ph,exposure_time,exposure_day,water,materials_in_water,concentration_of_materials,number_of_daphina,daphnia_age_hour,test_solution,container_size,repeating_number,rpm,food ,menu,food_concentration,test_solution_renewer,temperature,radiation,ec50,ec_ul,ec_ll,immobilisation_rate,immobilisation_concentration,lc50,lc_ul,lc_ll,mortality,mortality_concentration,others_feature
1,1,in house,MeOx,CeO2,6.5,,,,,,,,,,,,,,,11.5,1.0,sphere,,0.0,hexamethylenetetramine,,,,,,,,,,,,,,9.0,48,2.0,ASTM hard water,,,10,24.0,20.0,50.0,3.0,0.0,0.0,,,,,,12.0,11.0,15.0,50.0,12.0,,,,,,"단위 환산 error, water condition, LC -> EC"
2,1,in house,MeOx,TiO2,7.5,,,,,,,,,,,,,,,-42.5,1.0,rod,,0.0,tetramethylammonium hydroxide,,,,,,,,,,,,,,10.0,48,2.0,ASTM hard water,,,10,24.0,20.0,50.0,3.0,0.0,0.0,,,,,,16.0,13.0,20.0,50.0,16.0,,,,,,"단위 환산 error, water condition, LC -> EC"
3,1,in house,MeOx,Fe3O4,6.0,,,,,,,,,,,,,,,-58.4,1.0,sphere,,0.0,tetramethylammonium hydroxide,,,,,,,,,,,,,,10.0,48,2.0,ASTM hard water,,,10,24.0,20.0,50.0,3.0,0.0,0.0,,,,,,0.23,0.17,0.38,50.0,0.23,,,,,,"단위 환산 error, water condition, LC -> EC"
4,2,"Nanjing high technology NANO Co., LTD",MeOx,ZnO,20.0,,,,,,,,,,,,,,,,0.0,,99.6,0.0,,,,1.0,,,,,,,,5.0,0.01,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,0.622,0.805,0.411,0.5,0.622,1.511,2.108,1.12,50.0,1.511,"bulk, carbon data 추가, 단위 환산 error, water condition"
5,2,Third chemical regent factory of Tianjin,MeOx,ZnO,1000.0,,,,,,,,,,,,,,,,0.0,,99.0,0.0,,,,1.0,,,,,,,,5.0,0.01,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,0.481,0.667,0.301,0.5,0.481,1.25,1.848,0.985,50.0,1.25,"bulk, carbon data 추가, 단위 환산 error, water condition"
6,2,"Nanjing high technology NANO Co., LTD",MeOx,TiO2,20.0,20.0,,,,,,,,,,,,,,,0.0,,99.5,0.0,,anatase,,1.0,,,,,,,,500.0,0.5,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,35.306,48.928,25.627,0.5,35.306,143.387,202.818,106.466,50.0,143.387,"bulk, carbon data 추가, 단위 환산 error, water condition"
7,2,Third chemical regent factory of Tianjin,MeOx,TiO2,10000.0,,,,,,,,,,,,,,,,0.0,,99.0,0.0,,,,1.0,,,,,,,,500.0,0.5,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,275.277,570.045,170.661,0.5,275.277,500.0,,500.0,,,"bulk, carbon data 추가, 단위 환산 error, water condition"
8,2,"Nanjing high technology NANO Co., LTD",MeOx,Al2O3,80.0,,,,,,,,,,,,,,,,0.0,,99.9,0.0,,,,1.0,,,,,,,,1000.0,10.0,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,114.357,191.1,111.2332,50.0,114.357,162.392,214.803,124.325,50.0,162.392,"bulk, carbon data 추가, 단위 환산 error, water condition"
9,2,Third chemical regent factory of Tianjin,MeOx,Al2O3,90000.0,,,,,,,,,,,,,,,,0.0,,99.0,0.0,,,,1.0,,,,,,,,1000.0,10.0,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,500.0,,500.0,,,500.0,,500.0,,,"bulk, carbon data 추가, 단위 환산 error, water condition"
10,2,"SES (Houston, TX, USA)",carbon,C60,200.0,200.0,,,,,,,,,,,,,,,0.0,,99.5,,,,,1.0,,,,,,,,100.0,0.5,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,9.344,11.262,7.757,50.0,9.344,10.515,12.757,8.658,50.0,10.515,"bulk, carbon data 추가, 단위 환산 error, NP source 추가 기재, water condition"
11,2,"Shenzhen Nanotech Port Co., Ltd",carbon,SWCNT,2.0,2.0,,10.0,15.0,5.0,,,,,,,,,,,0.0,,90.0,,,,,1.0,,,,,,,,100.0,0.1,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,1.306,1.994,0.821,50.0,1.306,2.425,3.55,1.639,50.0,2.425,"bulk, carbon data 추가, 단위 환산 error, water condition"
12,2,"Shenzhen Nanotech Port Co., Ltd",carbon,MWCNT,15.0,20.0,10.0,10.0,15.0,5.0,,,,,,,,,,,0.0,,98.0,,,,,1.0,,,,,,,,100.0,0.1,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,8.723,12.128,6.284,50.0,8.723,22.751,34.388,15.678,50.0,22.751,"bulk, carbon data 추가, 단위 환산 error, diam 수정, water condition"
13,2,"Tianjin Jinqiushi Chemical port Co., Ltd",carbon,carbon black,20000.0,,,,,,,,,,,,,,,,0.0,,95.0,,,,,1.0,,,,,,,,100.0,1.0,,,48,2.0,ISO water,,,10,24.0,30.0,100.0,6.0,140.0,0.0,,,,23.0,,37.563,41.968,33.076,50.0,37.563,61.547,68.232,54.546,50.0,61.547,"bulk, carbon data 추가, 단위 환산 error, water condition"
14,3,in house,Me,Au,21.0,,,,,,,,0.21,36.0,0.27,,,,,,1.0,sphere,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,70.0,70.0,,,,,,,,,LC -> EC
15,3,in house,Me,Ag,36.0,,,,,,,,0.32,438.0,0.8,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.003,,,50.0,0.003,,,,,,"단위 환산 error, LC -> EC"
16,3,in house,Me,Ag,52.0,,,,,,,,0.4,378.0,0.66,,,,,,1.0,"sphere, rod",,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.004,,,50.0,0.004,,,,,,"단위 환산 error, LC -> EC"
17,3,in house,Me,Ag,66.0,,,,,,,,0.24,553.0,0.9,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.004,,,50.0,0.004,,,,,,"단위 환산 error, LC -> EC"
18,3,in house,BiMe,Ag-Au,41.0,,,,,,,,0.3,17.0,0.61,,,,,,1.0,sphere,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.012,,,50.0,0.012,,,,,,"단위 환산 error, LC -> EC"
19,3,in house,BiMe,Ag-Au,72.0,,,,,,,,0.08,77.0,0.15,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,48,2.0,standard synthetic freshwater,,,4,24.0,30.0,50.0,4.0,0.0,0.0,,,,21.0,,0.016,,,50.0,0.016,,,,,,"단위 환산 error, LC -> EC"
20,4,"IoLiTecGmbh (Heibronn, Germany)",Me,Cu,50.0,,,,,,,,,953.0,,7.0,953.0,1478.0,428.0,-4,1.0,sphere,99.8,0.0,,,,,,,1.0,20.0,,0.02,,0.16,0.02,20.0,7.8,48,2.0,ISO water,,,5,24.0,20.0,,4.0,0.0,0.0,,,,20.0,,0.093,0.101,0.86,50.0,0.093,,,,,,"NP information, pH, LC->EC"
21,4,"IoLiTecGmbh (Heibronn, Germany)",MeOx,ZnO,43.0,,,,,,,,,1871.0,,27.0,1871.0,2380.0,1362.0,-3,1.0,sphere,99.5,0.0,,,,,,,1.0,20.0,,0.02,,2.6,0.4,60.0,7.8,48,2.0,ISO water,,,5,24.0,20.0,,4.0,0.0,0.0,,,,20.0,,0.99,1.07,0.92,50.0,0.99,,,,,,"NP information, pH, LC->EC"
